# 출처: 국토교통부 실거래가 공개시스템(rt.molit.go.kr) 아파트 전월세 실거래 2026.03~05 전국, 원본 238,658건 집계
# 시도·시군구·전월세·전용면적대별 보증금/월세 중위값. 면적대 평은 전용면적 ㎡ 환산.
시도,시군구,전월세,전용면적대,거래건수,보증금중위(만원),월세중위(만원),건축년도중위
강원특별자치도,춘천시,월세,40㎡미만(~12평),80,1000,32,1999
강원특별자치도,춘천시,월세,60~85㎡(18~26평),274,5000,90,2015
강원특별자치도,춘천시,월세,85~135㎡(26~40평),14,3000,100,2001
강원특별자치도,춘천시,전세,135㎡이상(40평~),5,33000,0,2008
강원특별자치도,춘천시,전세,40~60㎡(12~18평),151,13000,0,1997
강원특별자치도,춘천시,전세,40㎡미만(~12평),20,8250,0,1989
강원특별자치도,춘천시,전세,60~85㎡(18~26평),222,26000,0,2015
강원특별자치도,춘천시,전세,85~135㎡(26~40평),35,28000,0,2006
강원특별자치도,태백시,월세,40~60㎡(12~18평),5,1000,50,2004
강원특별자치도,태백시,월세,40㎡미만(~12평),28,500,45,2001
강원특별자치도,태백시,월세,60~85㎡(18~26평),1,1000,75,2014
강원특별자치도,태백시,전세,40~60㎡(12~18평),99,13770,0,2023
강원특별자치도,태백시,전세,40㎡미만(~12평),2,3500,0,2001
강원특별자치도,태백시,전세,60~85㎡(18~26평),5,19380,0,2023
강원특별자치도,평창군,월세,40~60㎡(12~18평),2,500,65,2004
강원특별자치도,평창군,월세,40㎡미만(~12평),8,500,32,1998
강원특별자치도,평창군,월세,60~85㎡(18~26평),1,2000,100,2023
강원특별자치도,평창군,전세,40~60㎡(12~18평),2,4750,0,2008
강원특별자치도,평창군,전세,60~85㎡(18~26평),1,13000,0,2013
강원특별자치도,평창군,전세,85~135㎡(26~40평),1,27000,0,2023
강원특별자치도,홍천군,월세,40~60㎡(12~18평),17,1000,47,2000
강원특별자치도,홍천군,월세,40㎡미만(~12평),10,500,35,2001
강원특별자치도,홍천군,월세,60~85㎡(18~26평),4,1000,60,1994
